datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name,M01AB_stock,M01AB_stock_status,M01AE_stock,M01AE_stock_status,N02BA_stock,N02BA_stock_status,N02BE_stock,N02BE_stock_status,N05B_stock,N05B_stock_status,N05C_stock,N05C_stock_status,R03_stock,R03_stock_status,R06_stock,R06_stock_status,Day
2014-02-05,3,4,6,32,15,1,1,1,2014,2,Wednesday,303,High Stock,248,High Stock,294,High Stock,297,High Stock,252,High Stock,413,High Stock,197,Medium Stock,448,High Stock,5
2014-02-06,3,6,3,41,17,2,5,2,2014,2,Thursday,300,High Stock,241,High Stock,290,High Stock,255,High Stock,235,High Stock,411,High Stock,192,Medium Stock,446,High Stock,6
2014-02-07,2,8,11,21,19,1,0,0,2014,2,Friday,297,High Stock,233,High Stock,278,High Stock,234,High Stock,216,High Stock,410,High Stock,192,Medium Stock,446,High Stock,7
2014-02-08,3,3,14,37,13,1,1,1,2014,2,Saturday,294,High Stock,229,High Stock,264,High Stock,197,Medium Stock,203,High Stock,409,High Stock,191,Medium Stock,445,High Stock,8
2014-02-09,4,3,2,31,10,0,6,0,2014,2,Sunday,290,High Stock,226,High Stock,262,High Stock,165,Medium Stock,193,Medium Stock,409,High Stock,185,Medium Stock,445,High Stock,9
2014-02-10,5,10,8,40,20,3,3,1,2014,2,Monday,285,High Stock,216,High Stock,253,High Stock,125,Medium Stock,173,Medium Stock,406,High Stock,182,Medium Stock,444,High Stock,10
2014-02-11,10,6,13,44,20,2,6,2,2014,2,Tuesday,275,High Stock,209,High Stock,240,High Stock,80,Medium Stock,153,Medium Stock,404,High Stock,176,Medium Stock,442,High Stock,11
2014-02-12,9,1,9,73,9,0,5,0,2014,2,Wednesday,266,High Stock,207,High Stock,231,High Stock,7,Low Stock,144,Medium Stock,404,High Stock,171,Medium Stock,442,High Stock,12
2014-02-13,4,3,10,49,13,3,0,1,2014,2,Thursday,262,High Stock,204,High Stock,221,High Stock,184,Medium Stock,131,Medium Stock,401,High Stock,171,Medium Stock,441,High Stock,13
2014-02-14,4,4,3,42,13,4,0,6,2014,2,Friday,258,High Stock,200,High Stock,218,High Stock,141,Medium Stock,118,Medium Stock,397,High Stock,171,Medium Stock,435,High Stock,14
2014-02-15,1,2,2,37,9,0,1,5,2014,2,Saturday,257,High Stock,197,Medium Stock,216,High Stock,104,Medium Stock,109,Medium Stock,397,High Stock,170,Medium Stock,430,High Stock,15
2014-02-16,0,1,1,34,5,2,3,1,2014,2,Sunday,257,High Stock,196,Medium Stock,215,High Stock,70,Low Stock,104,Medium Stock,395,High Stock,167,Medium Stock,429,High Stock,16
2014-02-17,7,4,12,27,13,1,7,0,2014,2,Monday,249,High Stock,192,Medium Stock,202,High Stock,43,Low Stock,91,Medium Stock,394,High Stock,160,Medium Stock,429,High Stock,17
2014-02-18,7,7,6,45,14,0,13,5,2014,2,Tuesday,242,High Stock,184,Medium Stock,196,Medium Stock,334,High Stock,284,High Stock,394,High Stock,147,Medium Stock,424,High Stock,18
2014-02-19,3,5,5,66,17,1,6,1,2014,2,Wednesday,238,High Stock,179,Medium Stock,190,Medium Stock,268,High Stock,267,High Stock,393,High Stock,141,Medium Stock,423,High Stock,19
2014-02-20,7,7,3,21,16,3,8,1,2014,2,Thursday,231,High Stock,172,Medium Stock,187,Medium Stock,246,High Stock,251,High Stock,390,High Stock,133,Medium Stock,422,High Stock,20
2014-02-21,6,4,9,25,17,0,0,0,2014,2,Friday,225,High Stock,168,Medium Stock,178,Medium Stock,221,High Stock,234,High Stock,390,High Stock,133,Medium Stock,422,High Stock,21
2014-02-22,7,3,5,26,12,0,1,0,2014,2,Saturday,218,High Stock,165,Medium Stock,172,Medium Stock,195,Medium Stock,222,High Stock,390,High Stock,132,Medium Stock,422,High Stock,22
2014-02-23,1,3,2,21,10,0,0,0,2014,2,Sunday,217,High Stock,161,Medium Stock,170,Medium Stock,174,Medium Stock,212,High Stock,390,High Stock,132,Medium Stock,422,High Stock,23
2014-02-24,7,4,5,26,4,0,0,3,2014,2,Monday,210,High Stock,157,Medium Stock,165,Medium Stock,147,Medium Stock,208,High Stock,390,High Stock,132,Medium Stock,419,High Stock,24
2014-02-25,5,1,11,34,13,0,0,2,2014,2,Tuesday,205,High Stock,155,Medium Stock,154,Medium Stock,113,Medium Stock,195,Medium Stock,390,High Stock,132,Medium Stock,417,High Stock,25
2014-02-26,5,4,1,34,5,0,12,1,2014,2,Wednesday,200,High Stock,151,Medium Stock,153,Medium Stock,79,Low Stock,190,Medium Stock,390,High Stock,120,Medium Stock,416,High Stock,26
2014-02-27,3,6,4,33,8,1,2,1,2014,2,Thursday,197,Medium Stock,145,Medium Stock,149,Medium Stock,46,Low Stock,182,Medium Stock,389,High Stock,118,Medium Stock,415,High Stock,27
2014-02-28,7,7,5,37,12,1,2,0,2014,2,Friday,190,Medium Stock,137,Medium Stock,143,Medium Stock,223,High Stock,170,Medium Stock,388,High Stock,116,Medium Stock,415,High Stock,28
2014-03-01,6,3,11,50,8,0,0,2,2014,3,Saturday,184,Medium Stock,134,Medium Stock,132,Medium Stock,172,Medium Stock,162,Medium Stock,388,High Stock,116,Medium Stock,413,High Stock,1
2014-03-02,3,1,2,6,2,0,0,1,2014,3,Sunday,181,Medium Stock,133,Medium Stock,130,Medium Stock,165,Medium Stock,160,Medium Stock,388,High Stock,116,Medium Stock,412,High Stock,2
2014-03-03,4,3,1,22,1,2,0,2,2014,3,Monday,177,Medium Stock,129,Medium Stock,128,Medium Stock,143,Medium Stock,159,Medium Stock,386,High Stock,116,Medium Stock,410,High Stock,3
2014-03-04,5,7,7,47,9,0,5,4,2014,3,Tuesday,171,Medium Stock,122,Medium Stock,121,Medium Stock,96,Medium Stock,150,Medium Stock,386,High Stock,111,Medium Stock,406,High Stock,4
2014-03-05,3,1,3,25,4,0,1,0,2014,3,Wednesday,168,Medium Stock,121,Medium Stock,118,Medium Stock,71,Low Stock,146,Medium Stock,386,High Stock,110,Medium Stock,406,High Stock,5
2014-03-06,3,2,5,44,17,1,5,1,2014,3,Thursday,165,Medium Stock,119,Medium Stock,113,Medium Stock,27,Low Stock,129,Medium Stock,385,High Stock,105,Medium Stock,405,High Stock,6
2014-03-07,4,4,9,25,3,1,0,2,2014,3,Friday,161,Medium Stock,115,Medium Stock,103,Medium Stock,291,High Stock,126,Medium Stock,384,High Stock,105,Medium Stock,403,High Stock,7
2014-03-08,4,3,1,27,11,0,0,0,2014,3,Saturday,157,Medium Stock,112,Medium Stock,102,Medium Stock,263,High Stock,115,Medium Stock,384,High Stock,105,Medium Stock,403,High Stock,8
2014-03-09,1,0,4,11,3,0,5,0,2014,3,Sunday,156,Medium Stock,112,Medium Stock,98,Medium Stock,252,High Stock,112,Medium Stock,384,High Stock,100,Medium Stock,403,High Stock,9
2014-03-10,6,5,3,47,11,0,0,2,2014,3,Monday,149,Medium Stock,106,Medium Stock,94,Medium Stock,205,High Stock,101,Medium Stock,384,High Stock,100,Medium Stock,401,High Stock,10
2014-03-11,6,5,7,30,12,1,1,5,2014,3,Tuesday,143,Medium Stock,101,Medium Stock,87,Medium Stock,174,Medium Stock,89,Medium Stock,383,High Stock,99,Medium Stock,396,High Stock,11
2014-03-12,6,2,6,19,22,3,2,2,2014,3,Wednesday,137,Medium Stock,98,Medium Stock,321,High Stock,155,Medium Stock,319,High Stock,380,High Stock,97,Medium Stock,394,High Stock,12
2014-03-13,2,4,5,15,10,0,26,2,2014,3,Thursday,134,Medium Stock,301,High Stock,316,High Stock,139,Medium Stock,309,High Stock,380,High Stock,71,Low Stock,392,High Stock,13
2014-03-14,4,1,1,16,11,0,1,2,2014,3,Friday,130,Medium Stock,300,High Stock,314,High Stock,123,Medium Stock,298,High Stock,380,High Stock,70,Low Stock,390,High Stock,14
2014-03-15,4,2,11,23,18,1,6,2,2014,3,Saturday,126,Medium Stock,298,High Stock,303,High Stock,100,Medium Stock,280,High Stock,379,High Stock,64,Low Stock,388,High Stock,15
2014-03-16,2,2,1,13,6,0,0,4,2014,3,Sunday,123,Medium Stock,296,High Stock,302,High Stock,87,Medium Stock,274,High Stock,379,High Stock,64,Low Stock,384,High Stock,16
2014-03-17,8,3,7,37,6,1,0,1,2014,3,Monday,115,Medium Stock,292,High Stock,295,High Stock,50,Low Stock,268,High Stock,378,High Stock,64,Low Stock,383,High Stock,17
2014-03-18,8,4,5,20,9,0,0,4,2014,3,Tuesday,107,Medium Stock,288,High Stock,290,High Stock,30,Low Stock,259,High Stock,378,High Stock,64,Low Stock,379,High Stock,18
2014-03-19,4,3,4,21,2,0,0,2,2014,3,Wednesday,103,Medium Stock,285,High Stock,286,High Stock,249,High Stock,257,High Stock,378,High Stock,64,Low Stock,377,High Stock,19
2014-03-20,3,5,1,38,5,0,7,4,2014,3,Thursday,100,Medium Stock,280,High Stock,284,High Stock,211,High Stock,252,High Stock,378,High Stock,57,Low Stock,373,High Stock,20
2014-03-21,6,3,4,40,4,0,2,1,2014,3,Friday,94,Medium Stock,276,High Stock,280,High Stock,171,Medium Stock,248,High Stock,378,High Stock,55,Low Stock,372,High Stock,21
2014-03-22,3,2,0,26,10,2,18,8,2014,3,Saturday,90,Medium Stock,274,High Stock,280,High Stock,145,Medium Stock,238,High Stock,376,High Stock,37,Low Stock,363,High Stock,22
2014-03-23,6,2,4,19,0,1,0,3,2014,3,Sunday,84,Medium Stock,272,High Stock,276,High Stock,125,Medium Stock,238,High Stock,375,High Stock,240,High Stock,360,High Stock,23
2014-03-24,5,1,4,23,7,0,6,3,2014,3,Monday,78,Low Stock,271,High Stock,272,High Stock,102,Medium Stock,231,High Stock,375,High Stock,234,High Stock,357,High Stock,24
2014-03-25,4,1,9,38,7,0,1,1,2014,3,Tuesday,74,Low Stock,270,High Stock,263,High Stock,63,Low Stock,224,High Stock,375,High Stock,233,High Stock,356,High Stock,25
2014-03-26,2,3,9,6,7,3,3,0,2014,3,Wednesday,286,High Stock,266,High Stock,254,High Stock,56,Low Stock,217,High Stock,372,High Stock,230,High Stock,356,High Stock,26
2014-03-27,4,0,2,20,6,1,1,5,2014,3,Thursday,282,High Stock,265,High Stock,252,High Stock,36,Low Stock,211,High Stock,371,High Stock,229,High Stock,351,High Stock,27
2014-03-28,2,2,8,11,3,0,9,5,2014,3,Friday,279,High Stock,263,High Stock,244,High Stock,348,High Stock,208,High Stock,371,High Stock,220,High Stock,346,High Stock,28
2014-03-29,4,6,4,24,8,2,9,3,2014,3,Saturday,275,High Stock,257,High Stock,240,High Stock,324,High Stock,200,High Stock,369,High Stock,211,High Stock,343,High Stock,29
2014-03-30,3,2,0,12,4,0,0,7,2014,3,Sunday,272,High Stock,255,High Stock,240,High Stock,312,High Stock,196,Medium Stock,369,High Stock,211,High Stock,336,High Stock,30
2014-03-31,5,2,4,15,6,1,4,6,2014,3,Monday,267,High Stock,252,High Stock,236,High Stock,296,High Stock,190,Medium Stock,368,High Stock,207,High Stock,330,High Stock,31
2014-04-01,4,1,6,27,5,3,3,1,2014,4,Tuesday,263,High Stock,251,High Stock,229,High Stock,269,High Stock,185,Medium Stock,365,High Stock,204,High Stock,329,High Stock,1
2014-04-02,2,4,8,23,1,0,7,3,2014,4,Wednesday,261,High Stock,246,High Stock,220,High Stock,246,High Stock,184,Medium Stock,365,High Stock,197,Medium Stock,326,High Stock,2
2014-04-03,1,1,3,19,4,0,0,4,2014,4,Thursday,260,High Stock,245,High Stock,217,High Stock,227,High Stock,180,Medium Stock,365,High Stock,197,Medium Stock,322,High Stock,3
2014-04-04,3,3,3,24,9,3,8,2,2014,4,Friday,257,High Stock,241,High Stock,214,High Stock,203,High Stock,171,Medium Stock,362,High Stock,189,Medium Stock,320,High Stock,4
2014-04-05,2,7,10,25,5,0,5,3,2014,4,Saturday,255,High Stock,234,High Stock,204,High Stock,177,Medium Stock,166,Medium Stock,362,High Stock,184,Medium Stock,317,High Stock,5
2014-04-06,2,1,1,19,1,0,0,1,2014,4,Sunday,253,High Stock,233,High Stock,203,High Stock,158,Medium Stock,165,Medium Stock,362,High Stock,184,Medium Stock,316,High Stock,6
2014-04-07,6,6,6,31,4,0,0,1,2014,4,Monday,246,High Stock,227,High Stock,197,Medium Stock,126,Medium Stock,161,Medium Stock,362,High Stock,184,Medium Stock,315,High Stock,7
2014-04-08,4,2,1,19,6,1,0,4,2014,4,Tuesday,242,High Stock,224,High Stock,195,Medium Stock,107,Medium Stock,155,Medium Stock,361,High Stock,184,Medium Stock,310,High Stock,8
2014-04-09,6,1,1,18,2,1,2,2,2014,4,Wednesday,236,High Stock,223,High Stock,194,Medium Stock,89,Medium Stock,153,Medium Stock,360,High Stock,182,Medium Stock,307,High Stock,9
2014-04-10,3,1,1,18,10,0,4,4,2014,4,Thursday,233,High Stock,222,High Stock,193,Medium Stock,71,Low Stock,143,Medium Stock,360,High Stock,178,Medium Stock,303,High Stock,10
2014-04-11,6,4,3,25,2,2,0,2,2014,4,Friday,227,High Stock,218,High Stock,190,Medium Stock,46,Low Stock,141,Medium Stock,358,High Stock,178,Medium Stock,301,High Stock,11
2014-04-12,7,3,6,23,19,0,11,4,2014,4,Saturday,220,High Stock,214,High Stock,184,Medium Stock,285,High Stock,122,Medium Stock,358,High Stock,167,Medium Stock,297,High Stock,12
2014-04-13,3,2,2,6,3,0,5,2,2014,4,Sunday,217,High Stock,212,High Stock,182,Medium Stock,279,High Stock,119,Medium Stock,358,High Stock,162,Medium Stock,295,High Stock,13
2014-04-14,1,4,5,28,10,0,5,5,2014,4,Monday,215,High Stock,208,High Stock,177,Medium Stock,251,High Stock,109,Medium Stock,358,High Stock,157,Medium Stock,290,High Stock,14
2014-04-15,4,3,6,18,12,0,10,1,2014,4,Tuesday,211,High Stock,205,High Stock,170,Medium Stock,232,High Stock,97,Medium Stock,358,High Stock,147,Medium Stock,289,High Stock,15
2014-04-16,2,1,4,25,1,0,6,4,2014,4,Wednesday,209,High Stock,204,High Stock,166,Medium Stock,206,High Stock,96,Medium Stock,358,High Stock,141,Medium Stock,285,High Stock,16
2014-04-17,5,0,7,16,19,0,0,0,2014,4,Thursday,204,High Stock,203,High Stock,159,Medium Stock,190,Medium Stock,77,Low Stock,358,High Stock,141,Medium Stock,285,High Stock,17
2014-04-18,7,7,8,23,10,1,0,5,2014,4,Friday,197,Medium Stock,196,Medium Stock,151,Medium Stock,167,Medium Stock,326,High Stock,357,High Stock,141,Medium Stock,280,High Stock,18
2014-04-19,7,3,4,22,7,0,3,5,2014,4,Saturday,189,Medium Stock,193,Medium Stock,147,Medium Stock,145,Medium Stock,319,High Stock,357,High Stock,138,Medium Stock,275,High Stock,19
2014-04-20,0,0,0,0,0,0,0,0,2014,4,Sunday,189,Medium Stock,193,Medium Stock,147,Medium Stock,145,Medium Stock,319,High Stock,357,High Stock,138,Medium Stock,275,High Stock,20
2014-04-21,1,1,2,13,8,0,0,1,2014,4,Monday,188,Medium Stock,191,Medium Stock,145,Medium Stock,131,Medium Stock,311,High Stock,357,High Stock,138,Medium Stock,274,High Stock,21
2014-04-22,5,7,3,32,8,1,0,1,2014,4,Tuesday,183,Medium Stock,184,Medium Stock,142,Medium Stock,99,Medium Stock,303,High Stock,356,High Stock,138,Medium Stock,273,High Stock,22
2014-04-23,6,2,3,24,8,1,2,1,2014,4,Wednesday,176,Medium Stock,182,Medium Stock,139,Medium Stock,74,Low Stock,295,High Stock,355,High Stock,136,Medium Stock,272,High Stock,23
2014-04-24,2,2,1,26,6,0,6,2,2014,4,Thursday,174,Medium Stock,180,Medium Stock,138,Medium Stock,48,Low Stock,289,High Stock,355,High Stock,130,Medium Stock,270,High Stock,24
2014-04-25,3,2,5,24,10,1,1,3,2014,4,Friday,171,Medium Stock,178,Medium Stock,133,Medium Stock,319,High Stock,279,High Stock,354,High Stock,129,Medium Stock,267,High Stock,25
2014-04-26,4,2,5,35,12,1,6,4,2014,4,Saturday,167,Medium Stock,175,Medium Stock,127,Medium Stock,284,High Stock,267,High Stock,353,High Stock,123,Medium Stock,263,High Stock,26
2014-04-27,4,2,2,26,2,0,1,1,2014,4,Sunday,163,Medium Stock,173,Medium Stock,125,Medium Stock,257,High Stock,265,High Stock,353,High Stock,122,Medium Stock,262,High Stock,27
2014-04-28,1,3,3,29,8,2,0,2,2014,4,Monday,162,Medium Stock,170,Medium Stock,122,Medium Stock,228,High Stock,257,High Stock,351,High Stock,122,Medium Stock,260,High Stock,28
2014-04-29,3,4,4,30,6,1,5,0,2014,4,Tuesday,158,Medium Stock,166,Medium Stock,118,Medium Stock,198,Medium Stock,251,High Stock,350,High Stock,117,Medium Stock,260,High Stock,29
2014-04-30,4,2,7,43,11,0,7,4,2014,4,Wednesday,154,Medium Stock,163,Medium Stock,111,Medium Stock,155,Medium Stock,240,High Stock,350,High Stock,110,Medium Stock,256,High Stock,30
2014-05-01,0,0,0,0,0,0,0,0,2014,5,Thursday,154,Medium Stock,163,Medium Stock,111,Medium Stock,155,Medium Stock,240,High Stock,350,High Stock,110,Medium Stock,256,High Stock,1
2014-05-02,7,7,6,39,16,1,12,2,2014,5,Friday,147,Medium Stock,156,Medium Stock,104,Medium Stock,115,Medium Stock,224,High Stock,349,High Stock,98,Medium Stock,254,High Stock,2
2014-05-03,4,5,2,14,5,2,0,2,2014,5,Saturday,143,Medium Stock,150,Medium Stock,102,Medium Stock,101,Medium Stock,219,High Stock,347,High Stock,98,Medium Stock,252,High Stock,3
2014-05-04,1,4,1,20,3,0,0,3,2014,5,Sunday,141,Medium Stock,146,Medium Stock,101,Medium Stock,81,Medium Stock,216,High Stock,347,High Stock,98,Medium Stock,249,High Stock,4
2014-05-05,3,5,5,20,7,0,3,4,2014,5,Monday,138,Medium Stock,140,Medium Stock,96,Medium Stock,61,Low Stock,209,High Stock,347,High Stock,95,Medium Stock,245,High Stock,5
2014-05-06,7,4,4,22,10,2,6,5,2014,5,Tuesday,131,Medium Stock,135,Medium Stock,92,Medium Stock,39,Low Stock,199,Medium Stock,345,High Stock,89,Medium Stock,240,High Stock,6
2014-05-07,3,6,3,16,8,1,3,11,2014,5,Wednesday,127,Medium Stock,129,Medium Stock,303,High Stock,273,High Stock,191,Medium Stock,344,High Stock,86,Medium Stock,229,High Stock,7
2014-05-08,2,2,3,20,10,3,0,5,2014,5,Thursday,125,Medium Stock,127,Medium Stock,300,High Stock,253,High Stock,181,Medium Stock,341,High Stock,86,Medium Stock,224,High Stock,8
2014-05-09,2,5,4,16,12,2,1,2,2014,5,Friday,123,Medium Stock,122,Medium Stock,296,High Stock,237,High Stock,169,Medium Stock,339,High Stock,85,Medium Stock,222,High Stock,9
2014-05-10,5,6,9,39,15,3,1,5,2014,5,Saturday,118,Medium Stock,116,Medium Stock,287,High Stock,197,Medium Stock,154,Medium Stock,336,High Stock,84,Medium Stock,217,High Stock,10
2014-05-11,2,2,1,17,7,0,1,4,2014,5,Sunday,116,Medium Stock,113,Medium Stock,286,High Stock,180,Medium Stock,147,Medium Stock,336,High Stock,83,Medium Stock,213,High Stock,11
2014-05-12,4,3,9,12,8,0,5,2,2014,5,Monday,112,Medium Stock,110,Medium Stock,277,High Stock,168,Medium Stock,139,Medium Stock,336,High Stock,78,Low Stock,211,High Stock,12
2014-05-13,3,0,6,32,7,0,25,7,2014,5,Tuesday,108,Medium Stock,109,Medium Stock,270,High Stock,136,Medium Stock,132,Medium Stock,336,High Stock,53,Low Stock,203,High Stock,13
2014-05-14,1,4,6,24,4,0,0,3,2014,5,Wednesday,107,Medium Stock,105,Medium Stock,264,High Stock,112,Medium Stock,128,Medium Stock,336,High Stock,268,High Stock,200,High Stock,14
2014-05-15,2,2,3,19,7,0,1,2,2014,5,Thursday,105,Medium Stock,103,Medium Stock,261,High Stock,93,Medium Stock,121,Medium Stock,336,High Stock,267,High Stock,198,Medium Stock,15
2014-05-16,5,7,3,22,10,1,11,1,2014,5,Friday,100,Medium Stock,96,Medium Stock,258,High Stock,71,Low Stock,111,Medium Stock,335,High Stock,256,High Stock,197,Medium Stock,16
2014-05-17,2,7,3,35,14,1,0,2,2014,5,Saturday,97,Medium Stock,378,High Stock,255,High Stock,36,Low Stock,97,Medium Stock,334,High Stock,256,High Stock,195,Medium Stock,17
2014-05-18,3,2,5,9,6,0,0,1,2014,5,Sunday,94,Medium Stock,376,High Stock,250,High Stock,321,High Stock,91,Medium Stock,334,High Stock,256,High Stock,194,Medium Stock,18
2014-05-19,8,3,6,12,5,0,3,9,2014,5,Monday,86,Medium Stock,372,High Stock,244,High Stock,308,High Stock,393,High Stock,334,High Stock,253,High Stock,185,Medium Stock,19
2014-05-20,1,2,7,27,10,1,0,3,2014,5,Tuesday,85,Medium Stock,369,High Stock,237,High Stock,281,High Stock,383,High Stock,333,High Stock,253,High Stock,181,Medium Stock,20
2014-05-21,2,4,9,15,6,1,0,3,2014,5,Wednesday,83,Medium Stock,365,High Stock,228,High Stock,266,High Stock,377,High Stock,332,High Stock,253,High Stock,178,Medium Stock,21
2014-05-22,3,1,1,8,8,0,2,4,2014,5,Thursday,79,Low Stock,363,High Stock,227,High Stock,258,High Stock,369,High Stock,332,High Stock,251,High Stock,174,Medium Stock,22
